location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due
OMR,Corporate,English,Ford,Aspire,2015,10,Electric,Automatic,32089,Expired,Active,Minor,OMR,6,27651,265,37651,239,Yes,No,Positive,No,Lisa,Yes,283,Already serviced,OFF274,15% OFF AMC,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7820,1,No,Unresponsive,58,-201,0.0,28,206,True
T Nagar,Fleet,Hindi,Ford,EcoSport,2019,6,Electric,Automatic,62206,Expired,Active,Minor,T Nagar,6,59448,852,69448,180,Yes,No,Busy,Yes,Dillon,No,220,Not interested,OFF248,15% OFF AMC,12-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,12807,3,No,Delayed Pickup,139,100,206.0,138,33,False
T Nagar,Corporate,English,Toyota,Yaris,2018,7,Electric,Manual,104841,Expired,Expired,Major,T Nagar,8,100459,1233,110459,180,Yes,No,Positive,No,Matthew,Yes,70,Booked,OFF889,15% OFF AMC,04-08-2025,No,No,No,No,No,No,No,No,No,9206,2,Yes,Average,373,-193,0.0,371,42,True
OMR,Corporate,English,Toyota,Yaris,2020,5,Electric,Automatic,89452,Expired,Active,Minor,OMR,4,88302,1466,98302,180,Yes,Yes,No Response,Yes,Charles,No,140,Not interested,OFF384,Free Wash,15-08-2025,No,No,No,No,No,No,Yes,No,No,7513,4,No,Average,318,-138,116.0,314,175,True
Anna Nagar,Corporate,Hindi,Toyota,Etios,2017,8,Petrol,Manual,112041,Expired,Expired,Major,Anna Nagar,10,110909,1155,120909,180,Yes,No,No Response,No,Laurie,No,257,Booked,OFF687,Free Wash,29-07-2025,No,No,No,No,No,No,No,No,No,9772,3,Yes,Average,197,-17,0.0,194,17,True
T Nagar,Retail,Hindi,Maruti,Swift,2019,6,Petrol,Automatic,58745,Expired,Expired,Minor,T Nagar,6,56581,805,66581,180,No,Yes,Busy,No,Michael,No,123,Call back later,OFF959,Free Wash,21-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7298,4,No,Unresponsive,279,-99,0.0,276,19,True
T Nagar,Retail,Tamil,Maruti,Dzire,2017,8,Petrol,Automatic,11287,Expired,Expired,Major,T Nagar,3,8360,116,18360,180,Yes,Yes,No Response,Yes,James,No,78,Already serviced,OFF438,10% OFF Labour,12-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,10165,3,No,Delayed Pickup,274,-94,25.0,477,86,True
OMR,Fleet,English,Ford,EcoSport,2021,4,Electric,Automatic,81256,Expired,Active,Major,OMR,2,77107,1658,87107,180,Yes,No,Busy,Yes,Joshua,No,234,Not interested,OFF915,Engine Oil Discount,26-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8483,3,Yes,Average,307,-127,25.0,306,175,True
OMR,Corporate,Tamil,Maruti,Swift,2016,9,Diesel,Automatic,88879,Expired,Active,Minor,OMR,9,86741,815,96741,180,Yes,No,Denied,No,Becky,No,193,Call back later,OFF301,10% OFF Labour,10-08-2025,No,No,No,No,No,No,No,No,No,6302,4,No,Average,368,-188,0.0,367,33,True
Velachery,Fleet,Hindi,Hyundai,Creta,2015,10,Electric,Automatic,97819,Expired,Active,Major,Velachery,7,93264,808,103264,180,Yes,No,No Response,No,Devin,No,83,Call back later,OFF258,Engine Oil Discount,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5043,4,No,Unresponsive,72,108,0.0,71,36,False
OMR,Retail,Hindi,Honda,Amaze,2019,6,Diesel,Automatic,44053,Expired,Active,Major,OMR,1,40910,603,50910,180,Yes,No,No Response,No,Gilbert,No,34,Already serviced,OFF873,Engine Oil Discount,22-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14303,2,No,Smooth Process,168,12,0.0,167,32,False
T Nagar,Fleet,Hindi,Maruti,Swift,2018,7,Electric,Manual,65026,Expired,Expired,Minor,T Nagar,5,63645,765,73645,298,Yes,Yes,Denied,No,Mark,No,264,Booked,OFF694,10% OFF Labour,19-07-2025,Yes,No,No,Yes,No,No,No,No,No,7635,4,No,Smooth Process,299,-119,0.0,414,-128,True
Velachery,Corporate,English,Hyundai,i20,2021,4,Diesel,Manual,101857,Expired,Expired,Minor,Velachery,2,99223,2079,109223,180,No,Yes,Busy,No,Barbara,No,190,Not interested,OFF323,15% OFF AMC,05-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9929,2,No,Unresponsive,279,-99,0.0,276,18,True
OMR,Retail,English,Honda,Jazz,2016,9,Petrol,Manual,88562,Expired,Active,Minor,OMR,10,87030,813,97030,180,No,Yes,Positive,Yes,Courtney,Yes,180,Already serviced,OFF776,10% OFF Labour,23-07-2025,No,No,No,No,No,No,No,No,No,6457,3,No,Delayed Pickup,163,17,11.0,160,14,False
T Nagar,Retail,Hindi,Ford,EcoSport,2015,10,Diesel,Automatic,72050,Expired,Active,Minor,T Nagar,1,67148,595,77148,153,No,No,No Response,Yes,Thomas,No,102,Booked,OFF380,Engine Oil Discount,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12560,4,Yes,Smooth Process,179,-174,33.0,120,34,True
T Nagar,Fleet,Hindi,Ford,EcoSport,2019,6,Electric,Automatic,62206,Expired,Active,Minor,T Nagar,6,59448,852,69448,180,Yes,No,Busy,Yes,Dillon,No,220,Not interested,OFF248,15% OFF AMC,12-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,7051,3,No,Unresponsive,139,100,206.0,137,33,False
Anna Nagar,Retail,English,Toyota,Etios,2022,3,Diesel,Manual,25966,Active,Expired,Major,Anna Nagar,3,21607,702,31607,269,Yes,No,Denied,Yes,Nicholas,No,104,Booked,OFF289,Free Wash,17-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5739,4,No,Smooth Process,361,-211,13.0,269,17,True
Anna Nagar,Retail,Tamil,Toyota,Innova,2017,8,Petrol,Automatic,89556,Expired,Expired,Major,Anna Nagar,6,86629,923,96629,180,No,Yes,Busy,No,Jasmine,No,52,Not interested,OFF253,10% OFF Labour,27-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10019,3,No,Average,311,-131,0.0,309,-67,True
Velachery,Corporate,Hindi,Maruti,Swift,2019,6,Electric,Manual,52058,Expired,Active,Minor,Velachery,5,48878,713,58878,180,No,No,Positive,No,Emily,Yes,106,Call back later,OFF380,10% OFF Labour,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10547,1,No,Delayed Pickup,308,-128,0.0,305,-67,True
OMR,Fleet,English,Maruti,Dzire,2019,6,Electric,Manual,20780,Expired,Expired,Major,OMR,7,18619,285,28619,180,No,No,Denied,Yes,Ryan,No,238,Not interested,OFF975,Engine Oil Discount,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9638,5,No,Average,369,-189,15.0,571,-128,True
OMR,Corporate,Tamil,Honda,City,2018,7,Electric,Manual,32946,Expired,Expired,Minor,OMR,7,28719,388,38719,180,No,Yes,No Response,Yes,Mark,No,182,Booked,OFF443,15% OFF AMC,01-08-2025,No,No,No,No,No,No,No,No,No,4653,5,No,Average,156,24,206.0,210,32,False
Velachery,Retail,Hindi,Toyota,Yaris,2021,4,Diesel,Manual,102371,Expired,Active,Minor,Velachery,2,99007,2089,109007,207,Yes,Yes,No Response,No,Kim,No,130,Already serviced,OFF216,15% OFF AMC,13-08-2025,No,No,No,No,No,No,No,No,No,6566,4,No,Poor Service,152,28,0.0,60,37,False
Anna Nagar,Retail,English,Toyota,Yaris,2020,5,Petrol,Automatic,91522,Expired,Active,Minor,Anna Nagar,8,89695,1500,99695,123,No,No,Denied,No,Diane,No,205,Booked,OFF882,10% OFF Labour,26-07-2025,No,No,No,No,No,No,Yes,No,Yes,9424,3,No,Unresponsive,178,-146,0.0,119,15,True
Velachery,Retail,English,Toyota,Yaris,2019,6,Diesel,Automatic,97404,Expired,Active,Major,Velachery,9,95757,1334,105757,180,Yes,No,No Response,No,Sarah,No,247,Not interested,OFF567,15% OFF AMC,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8564,2,No,Average,369,-189,0.0,366,14,True
T Nagar,Fleet,English,Ford,Figo,2021,4,Petrol,Manual,51614,Expired,Active,Minor,T Nagar,6,47176,1053,57176,180,Yes,Yes,No Response,No,Courtney,No,240,Not interested,OFF553,15% OFF AMC,19-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6198,4,No,Average,308,-128,0.0,569,55,True
OMR,Retail,Hindi,Toyota,Yaris,2020,5,Electric,Manual,24156,Expired,Active,Minor,OMR,10,19923,396,29923,180,Yes,Yes,No Response,No,Andrea,No,245,Already serviced,OFF842,Engine Oil Discount,14-08-2025,Yes,No,No,Yes,No,No,Yes,No,No,3525,4,No,Poor Service,231,97,0.0,228,-37,False
Velachery,Retail,Tamil,Ford,Aspire,2017,8,Electric,Automatic,60012,Expired,Expired,Major,Velachery,10,55171,619,65171,298,Yes,Yes,Positive,Yes,Kevin,Yes,38,Already serviced,OFF206,Engine Oil Discount,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11400,3,No,Unresponsive,362,-182,86.0,331,33,True
OMR,Fleet,English,Maruti,Swift,2016,9,Petrol,Automatic,57369,Expired,Active,Major,OMR,8,53111,526,63111,298,Yes,No,Positive,No,Raymond,Yes,69,Call back later,OFF803,Engine Oil Discount,27-07-2025,No,No,No,No,No,No,No,No,No,7612,1,No,Poor Service,362,-182,0.0,240,14,True
Anna Nagar,Fleet,Hindi,Maruti,Baleno,2020,5,Diesel,Manual,49378,Expired,Expired,Minor,Anna Nagar,6,47651,809,57651,180,No,No,No Response,No,Christopher,No,154,Not interested,OFF485,15% OFF AMC,02-08-2025,No,No,No,No,No,No,No,No,No,7901,4,No,Average,48,103,0.0,46,38,False
OMR,Retail,Hindi,Maruti,Dzire,2020,5,Electric,Automatic,62260,Expired,Active,Major,OMR,6,60270,1021,70270,180,No,Yes,No Response,No,Jane,No,156,Call back later,OFF199,10% OFF Labour,07-08-2025,No,No,No,No,No,No,No,No,No,6589,4,No,Delayed Pickup,285,-105,0.0,283,14,True
T Nagar,Fleet,Tamil,Toyota,Etios,2019,6,Petrol,Automatic,96019,Expired,Expired,Minor,T Nagar,6,91959,1315,101959,121,No,Yes,No Response,Yes,Theresa,No,127,Not interested,OFF141,Free Wash,19-07-2025,No,No,No,No,No,No,No,No,No,6655,3,No,Average,356,-60,175.0,325,206,True
OMR,Fleet,Hindi,Ford,Aspire,2016,9,Petrol,Automatic,24047,Expired,Active,Minor,OMR,8,22281,221,32281,180,No,Yes,Denied,No,Luis,No,210,Not interested,OFF221,10% OFF Labour,22-07-2025,No,No,No,No,No,No,No,No,No,9941,4,Yes,Delayed Pickup,76,104,0.0,73,41,False
OMR,Fleet,English,Hyundai,i20,2016,9,Electric,Manual,106658,Expired,Active,Major,OMR,4,104852,979,114852,180,Yes,No,No Response,Yes,Eric,No,79,Booked,OFF591,Engine Oil Discount,21-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,14161,5,No,Smooth Process,251,-71,14.0,249,-128,True
Velachery,Fleet,Tamil,Honda,Amaze,2017,8,Electric,Manual,43723,Expired,Expired,Major,Velachery,8,41563,451,51563,474,No,No,Positive,No,Mary,Yes,99,Already serviced,OFF300,Free Wash,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10272,4,No,Average,242,-62,0.0,535,16,True
Velachery,Fleet,Hindi,Ford,EcoSport,2022,3,Electric,Automatic,72245,Active,Active,Major,Velachery,2,69539,1953,79539,32,No,Yes,Denied,No,Deanna,No,146,Booked,OFF697,Engine Oil Discount,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9868,2,Yes,Poor Service,51,11,0.0,-41,-67,False
T Nagar,Fleet,Tamil,Toyota,Yaris,2017,8,Electric,Manual,61583,Expired,Active,Minor,T Nagar,5,56969,635,66969,180,No,Yes,Busy,No,Angela,No,240,Booked,OFF477,10% OFF Labour,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4864,5,No,Poor Service,212,-32,0.0,122,32,True
OMR,Fleet,Tamil,Toyota,Innova,2020,5,Diesel,Automatic,50345,Expired,Active,Major,OMR,2,47769,825,57769,269,Yes,Yes,Denied,No,Sabrina,No,208,Already serviced,OFF750,15% OFF AMC,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12336,5,No,Average,329,-90,0.0,299,33,True
OMR,Retail,Hindi,Ford,Figo,2016,9,Electric,Automatic,33534,Expired,Active,Major,OMR,2,30830,308,40830,-86,No,No,Denied,No,Theresa,No,165,Not interested,OFF992,Free Wash,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,7033,1,No,Average,142,8,0.0,50,41,False
Anna Nagar,Fleet,Tamil,Hyundai,Creta,2016,9,Diesel,Manual,22178,Expired,Expired,Minor,Anna Nagar,5,18375,203,28375,387,No,No,Busy,Yes,Megan,No,162,Not interested,OFF501,Free Wash,07-08-2025,No,No,No,No,No,No,No,No,No,5690,5,No,Satisfied,302,-209,13.0,505,15,True
OMR,Corporate,Tamil,Hyundai,Creta,2020,5,Electric,Manual,97096,Expired,Expired,Major,OMR,2,95306,1592,105306,180,Yes,No,Positive,Yes,Kathy,Yes,52,Not interested,OFF723,Free Wash,11-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,7168,4,Yes,Satisfied,372,-192,15.0,369,19,True
T Nagar,Corporate,English,Ford,Aspire,2019,6,Electric,Manual,96298,Expired,Expired,Minor,T Nagar,7,94088,1319,104088,121,Yes,Yes,Denied,No,Madison,No,87,Call back later,OFF611,10% OFF Labour,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11375,2,No,Smooth Process,117,-144,0.0,87,18,True
Velachery,Retail,Hindi,Maruti,Baleno,2015,10,Electric,Automatic,105991,Expired,Active,Minor,Velachery,6,101930,876,111930,180,No,Yes,Busy,Yes,Adrian,No,217,Not interested,OFF950,Free Wash,08-08-2025,No,No,No,No,No,No,No,No,No,14627,5,Yes,Poor Service,252,-72,206.0,250,38,True
Velachery,Fleet,Hindi,Honda,Amaze,2017,8,Electric,Automatic,30591,Expired,Active,Minor,Velachery,4,25600,315,35600,180,Yes,No,No Response,No,Teresa,No,182,Call back later,OFF198,10% OFF Labour,14-08-2025,No,No,No,No,No,No,No,No,No,5677,4,No,Average,342,-162,0.0,339,35,True
Velachery,Corporate,Tamil,Toyota,Innova,2021,4,Petrol,Manual,101551,Expired,Expired,Minor,Velachery,7,98085,2072,108085,180,No,No,Positive,Yes,William,Yes,124,Already serviced,OFF910,Free Wash,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13329,3,No,Poor Service,281,-101,86.0,280,33,True
T Nagar,Fleet,English,Ford,EcoSport,2019,6,Petrol,Manual,61807,Expired,Active,Minor,T Nagar,5,56935,847,66935,180,Yes,Yes,No Response,No,Michelle,No,197,Booked,OFF107,Engine Oil Discount,04-08-2025,No,No,No,No,No,No,Yes,No,Yes,7377,3,Yes,Unresponsive,76,104,0.0,72,41,False
Velachery,Retail,Hindi,Toyota,Innova,2015,10,Petrol,Automatic,40375,Expired,Active,Major,Velachery,4,39200,334,49200,180,Yes,No,Denied,No,Ana,No,262,Booked,OFF140,15% OFF AMC,25-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11966,2,No,Delayed Pickup,88,-202,0.0,57,206,True
Anna Nagar,Corporate,Hindi,Maruti,Baleno,2015,10,Petrol,Automatic,62640,Expired,Expired,Minor,Anna Nagar,8,61339,518,71339,180,Yes,No,Busy,Yes,Erica,No,170,Not interested,OFF490,15% OFF AMC,30-07-2025,No,No,No,No,No,No,No,No,No,8674,2,Yes,Unresponsive,220,-40,-6.0,216,55,True
Velachery,Corporate,Hindi,Toyota,Etios,2021,4,Diesel,Manual,48895,Expired,Active,Major,Velachery,5,45755,998,55755,180,No,No,Busy,Yes,Jeremy,No,297,Call back later,OFF922,15% OFF AMC,27-07-2025,No,No,No,No,No,No,No,No,No,3088,4,No,Average,167,13,206.0,165,34,False
OMR,Retail,English,Ford,Aspire,2016,9,Electric,Manual,76493,Expired,Active,Minor,OMR,4,71762,702,81762,475,No,Yes,No Response,No,Michael,No,289,Already serviced,OFF850,10% OFF Labour,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11313,3,No,Smooth Process,273,-93,0.0,565,-67,True
Velachery,Retail,English,Ford,Aspire,2019,6,Electric,Manual,12779,Expired,Active,Minor,Velachery,2,9684,175,19684,387,No,Yes,Positive,Yes,Mary,Yes,146,Already serviced,OFF494,Free Wash,07-08-2025,No,No,No,No,No,No,No,No,No,3040,1,No,Delayed Pickup,302,-209,35.0,241,36,True
OMR,Fleet,English,Ford,Figo,2017,8,Diesel,Manual,115175,Expired,Expired,Minor,OMR,3,111773,1187,121773,180,Yes,Yes,No Response,Yes,Alexandra,No,232,Booked,OFF444,15% OFF AMC,20-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14070,3,No,Poor Service,66,114,40.0,63,43,False
Velachery,Corporate,English,Toyota,Innova,2019,6,Electric,Manual,53694,Expired,Active,Minor,Velachery,5,48731,736,58731,299,No,Yes,Positive,No,Timothy,Yes,222,Not interested,OFF932,Free Wash,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13204,4,Yes,Unresponsive,267,-57,0.0,383,147,True
Velachery,Fleet,Hindi,Maruti,Baleno,2015,10,Diesel,Automatic,70149,Expired,Active,Minor,Velachery,10,67219,580,77219,180,No,No,Denied,Yes,Richard,No,238,Not interested,OFF594,15% OFF AMC,04-08-2025,Yes,No,No,Yes,No,No,No,No,No,4270,4,Yes,Satisfied,48,103,-98.0,47,-37,False
Velachery,Fleet,Hindi,Toyota,Yaris,2017,8,Petrol,Manual,103853,Expired,Expired,Minor,Velachery,4,102674,1071,112674,180,Yes,Yes,No Response,No,Craig,No,293,Already serviced,OFF934,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,3266,4,No,Unresponsive,251,-71,0.0,249,-98,True
Velachery,Retail,English,Hyundai,i20,2017,8,Electric,Manual,67119,Expired,Active,Minor,Velachery,8,65513,692,75513,180,No,No,Positive,Yes,Raven,Yes,108,Already serviced,OFF596,Engine Oil Discount,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6172,3,No,Satisfied,317,-137,55.0,315,116,True
T Nagar,Corporate,Hindi,Toyota,Innova,2019,6,Electric,Automatic,37434,Expired,Active,Minor,T Nagar,4,36060,513,46060,180,Yes,Yes,Busy,No,Kristin,No,30,Not interested,OFF179,10% OFF Labour,14-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12489,3,No,Smooth Process,133,47,0.0,132,-128,False
Anna Nagar,Retail,Hindi,Toyota,Yaris,2015,10,Petrol,Automatic,25293,Expired,Active,Minor,Anna Nagar,8,21460,209,31460,180,No,No,No Response,No,Jessica,No,232,Not interested,OFF189,Free Wash,02-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8750,2,No,Unresponsive,124,56,0.0,150,39,False
Velachery,Retail,Tamil,Maruti,Baleno,2021,4,Petrol,Manual,107157,Expired,Active,Minor,Velachery,9,102329,2187,112329,180,No,No,Busy,Yes,Heather,No,147,Already serviced,OFF683,Free Wash,11-08-2025,No,No,No,No,No,No,No,No,No,9333,1,No,Smooth Process,45,120,-128.0,41,-37,False
Velachery,Fleet,Tamil,Maruti,Swift,2021,4,Petrol,Automatic,114504,Expired,Expired,Major,Velachery,9,110707,2337,120707,269,Yes,Yes,No Response,No,Ruth,No,169,Not interested,OFF376,15% OFF AMC,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11840,3,Yes,Smooth Process,298,-89,0.0,267,36,True
OMR,Fleet,Hindi,Maruti,Swift,2021,4,Petrol,Automatic,113488,Expired,Expired,Major,OMR,7,111940,2316,121940,180,No,No,Busy,Yes,Jeffrey,No,239,Not interested,OFF293,10% OFF Labour,28-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4645,5,No,Delayed Pickup,275,-95,-128.0,568,-37,True
Velachery,Retail,Tamil,Honda,City,2017,8,Diesel,Automatic,47347,Expired,Active,Minor,Velachery,8,43066,488,53066,180,No,No,Busy,No,Heather,No,79,Not interested,OFF624,Free Wash,12-08-2025,No,No,No,No,No,No,No,No,No,8642,4,Yes,Poor Service,214,-34,0.0,212,206,True
T Nagar,Fleet,Tamil,Hyundai,i10,2017,8,Electric,Automatic,72685,Expired,Active,Major,T Nagar,3,68120,749,78120,180,Yes,No,Denied,No,Patrick,No,111,Not interested,OFF701,Free Wash,09-08-2025,No,No,No,No,No,No,No,No,No,8454,4,Yes,Smooth Process,169,120,0.0,166,-67,False
OMR,Corporate,Tamil,Ford,Figo,2015,10,Electric,Automatic,112528,Expired,Active,Minor,OMR,6,109064,930,119064,180,No,Yes,Denied,No,Sandra,No,76,Already serviced,OFF959,Free Wash,26-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,11577,4,No,Average,74,106,0.0,72,42,False
Anna Nagar,Corporate,Hindi,Toyota,Innova,2018,7,Diesel,Manual,95398,Expired,Expired,Major,Anna Nagar,9,93115,1122,103115,34,Yes,No,Denied,No,Michael,No,293,Already serviced,OFF787,Free Wash,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,14035,4,No,Delayed Pickup,207,-86,0.0,176,18,True
T Nagar,Corporate,Tamil,Toyota,Etios,2017,8,Electric,Automatic,52425,Expired,Expired,Major,T Nagar,2,49250,540,59250,91,Yes,No,No Response,No,Brian,No,217,Already serviced,OFF100,Engine Oil Discount,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5278,5,No,Delayed Pickup,53,-50,0.0,23,86,True
Anna Nagar,Corporate,Hindi,Toyota,Etios,2019,6,Petrol,Automatic,70925,Expired,Expired,Minor,Anna Nagar,1,68256,972,78256,180,Yes,Yes,No Response,Yes,Patty,No,94,Not interested,OFF681,Engine Oil Discount,27-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,3124,5,No,Satisfied,284,-104,55.0,283,116,True
Velachery,Fleet,Tamil,Toyota,Etios,2015,10,Electric,Manual,105768,Expired,Expired,Minor,Velachery,9,103988,874,113988,180,Yes,Yes,Busy,Yes,Melissa,No,206,Not interested,OFF232,10% OFF Labour,13-08-2025,No,No,No,No,No,No,No,No,No,10834,3,No,Delayed Pickup,375,-195,116.0,373,34,True
OMR,Corporate,Hindi,Ford,Aspire,2018,7,Diesel,Manual,45774,Expired,Expired,Major,OMR,7,43398,539,53398,180,No,Yes,Denied,Yes,Jeffrey,No,43,Already serviced,OFF706,10% OFF Labour,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13984,3,No,Average,343,-163,-6.0,339,147,True
