location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due,feedback_sentiment,service_urgent,predicted_urgency,customer_segment,personalized_message,preferred_channels
Velachery,Fleet,Hindi,Hyundai,Creta,2015,10,Electric,Automatic,97819,Expired,Active,Major,Velachery,7,93264,808,103264,180,Yes,No,No Response,No,Devin,No,83,Call back later,OFF258,Engine Oil Discount,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5043,4,No,Unresponsive,70,110,0.0,69,34,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Hindi,Honda,Amaze,2019,6,Diesel,Automatic,44053,Expired,Active,Major,OMR,1,40910,603,50910,180,Yes,No,No Response,No,Gilbert,No,34,Already serviced,OFF873,Engine Oil Discount,22-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14303,2,No,Smooth Process,166,14,0.0,165,30,False,0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,English,Hyundai,i20,2021,4,Diesel,Manual,101857,Expired,Expired,Minor,Velachery,2,99223,2079,109223,180,No,Yes,Busy,No,Barbara,No,190,Not interested,OFF323,15% OFF AMC,05-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9929,2,No,Unresponsive,277,-97,0.0,274,16,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,English,Honda,Jazz,2016,9,Petrol,Manual,88562,Expired,Active,Minor,OMR,10,87030,813,97030,180,No,Yes,Positive,Yes,Courtney,Yes,180,Already serviced,OFF776,10% OFF Labour,23-07-2025,No,No,No,No,No,No,No,No,No,6457,3,No,Delayed Pickup,161,19,9.0,158,12,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Ford,EcoSport,2019,6,Electric,Automatic,62206,Expired,Active,Minor,T Nagar,6,59448,852,69448,180,Yes,No,Busy,Yes,Dillon,No,220,Not interested,OFF248,15% OFF AMC,12-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,7051,3,No,Unresponsive,137,102,204.0,135,31,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,Hindi,Maruti,Swift,2019,6,Electric,Manual,52058,Expired,Active,Minor,Velachery,5,48878,713,58878,180,No,No,Positive,No,Emily,Yes,106,Call back later,OFF380,10% OFF Labour,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10547,1,No,Delayed Pickup,306,-126,0.0,303,-69,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Hindi,Toyota,Yaris,2021,4,Diesel,Manual,102371,Expired,Active,Minor,Velachery,2,99007,2089,109007,207,Yes,Yes,No Response,No,Kim,No,130,Already serviced,OFF216,15% OFF AMC,13-08-2025,No,No,No,No,No,No,No,No,No,6566,4,No,Poor Service,150,30,0.0,58,35,False,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 207 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,English,Toyota,Yaris,2020,5,Petrol,Automatic,91522,Expired,Active,Minor,Anna Nagar,8,89695,1500,99695,123,No,No,Denied,No,Diane,No,205,Booked,OFF882,10% OFF Labour,26-07-2025,No,No,No,No,No,No,Yes,No,Yes,9424,3,No,Unresponsive,176,-144,0.0,117,13,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 123 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,English,Toyota,Yaris,2019,6,Diesel,Automatic,97404,Expired,Active,Major,Velachery,9,95757,1334,105757,180,Yes,No,No Response,No,Sarah,No,247,Not interested,OFF567,15% OFF AMC,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8564,2,No,Average,367,-187,0.0,364,12,True,-0.15,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Hindi,Toyota,Yaris,2020,5,Electric,Manual,24156,Expired,Active,Minor,OMR,10,19923,396,29923,180,Yes,Yes,No Response,No,Andrea,No,245,Already serviced,OFF842,Engine Oil Discount,14-08-2025,Yes,No,No,Yes,No,No,Yes,No,No,3525,4,No,Poor Service,229,99,0.0,226,-39,False,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Ford,Aspire,2017,8,Electric,Automatic,60012,Expired,Expired,Major,Velachery,10,55171,619,65171,298,Yes,Yes,Positive,Yes,Kevin,Yes,38,Already serviced,OFF206,Engine Oil Discount,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11400,3,No,Unresponsive,360,-180,84.0,329,31,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 298 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,English,Maruti,Swift,2016,9,Petrol,Automatic,57369,Expired,Active,Major,OMR,8,53111,526,63111,298,Yes,No,Positive,No,Raymond,Yes,69,Call back later,OFF803,Engine Oil Discount,27-07-2025,No,No,No,No,No,No,No,No,No,7612,1,No,Poor Service,360,-180,0.0,238,12,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 298 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Hindi,Maruti,Dzire,2020,5,Electric,Automatic,62260,Expired,Active,Major,OMR,6,60270,1021,70270,180,No,Yes,No Response,No,Jane,No,156,Call back later,OFF199,10% OFF Labour,07-08-2025,No,No,No,No,No,No,No,No,No,6589,4,No,Delayed Pickup,283,-103,0.0,281,12,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Hindi,Ford,Aspire,2016,9,Petrol,Automatic,24047,Expired,Active,Minor,OMR,8,22281,221,32281,180,No,Yes,Denied,No,Luis,No,210,Not interested,OFF221,10% OFF Labour,22-07-2025,No,No,No,No,No,No,No,No,No,9941,4,Yes,Delayed Pickup,74,106,0.0,71,39,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Hindi,Ford,EcoSport,2022,3,Electric,Automatic,72245,Active,Active,Major,Velachery,2,69539,1953,79539,32,No,Yes,Denied,No,Deanna,No,146,Booked,OFF697,Engine Oil Discount,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9868,2,Yes,Poor Service,49,13,0.0,-43,-69,False,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 32 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Tamil,Toyota,Yaris,2017,8,Electric,Manual,61583,Expired,Active,Minor,T Nagar,5,56969,635,66969,180,No,Yes,Busy,No,Angela,No,240,Booked,OFF477,10% OFF Labour,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4864,5,No,Poor Service,210,-30,0.0,120,30,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Hindi,Ford,Figo,2016,9,Electric,Automatic,33534,Expired,Active,Major,OMR,2,30830,308,40830,-86,No,No,Denied,No,Theresa,No,165,Not interested,OFF992,Free Wash,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,7033,1,No,Average,140,10,0.0,48,39,False,-0.15,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -86 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,English,Ford,Aspire,2019,6,Electric,Manual,96298,Expired,Expired,Minor,T Nagar,7,94088,1319,104088,121,Yes,Yes,Denied,No,Madison,No,87,Call back later,OFF611,10% OFF Labour,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11375,2,No,Smooth Process,115,-142,0.0,85,16,True,0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 121 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Hindi,Maruti,Baleno,2015,10,Electric,Automatic,105991,Expired,Active,Minor,Velachery,6,101930,876,111930,180,No,Yes,Busy,Yes,Adrian,No,217,Not interested,OFF950,Free Wash,08-08-2025,No,No,No,No,No,No,No,No,No,14627,5,Yes,Poor Service,250,-70,204.0,248,36,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,Tamil,Toyota,Innova,2021,4,Petrol,Manual,101551,Expired,Expired,Minor,Velachery,7,98085,2072,108085,180,No,No,Positive,Yes,William,Yes,124,Already serviced,OFF910,Free Wash,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13329,3,No,Poor Service,279,-99,84.0,278,31,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,English,Ford,EcoSport,2019,6,Petrol,Manual,61807,Expired,Active,Minor,T Nagar,5,56935,847,66935,180,Yes,Yes,No Response,No,Michelle,No,197,Booked,OFF107,Engine Oil Discount,04-08-2025,No,No,No,No,No,No,Yes,No,Yes,7377,3,Yes,Unresponsive,74,106,0.0,70,39,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Hindi,Toyota,Innova,2015,10,Petrol,Automatic,40375,Expired,Active,Major,Velachery,4,39200,334,49200,180,Yes,No,Denied,No,Ana,No,262,Booked,OFF140,15% OFF AMC,25-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11966,2,No,Delayed Pickup,86,-200,0.0,55,204,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Maruti,Baleno,2015,10,Petrol,Automatic,62640,Expired,Expired,Minor,Anna Nagar,8,61339,518,71339,180,Yes,No,Busy,Yes,Erica,No,170,Not interested,OFF490,15% OFF AMC,30-07-2025,No,No,No,No,No,No,No,No,No,8674,2,Yes,Unresponsive,218,-38,-8.0,214,53,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,English,Ford,Aspire,2019,6,Electric,Manual,12779,Expired,Active,Minor,Velachery,2,9684,175,19684,387,No,Yes,Positive,Yes,Mary,Yes,146,Already serviced,OFF494,Free Wash,07-08-2025,No,No,No,No,No,No,No,No,No,3040,1,No,Delayed Pickup,300,-207,33.0,239,34,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 387 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,English,Ford,Figo,2017,8,Diesel,Manual,115175,Expired,Expired,Minor,OMR,3,111773,1187,121773,180,Yes,Yes,No Response,Yes,Alexandra,No,232,Booked,OFF444,15% OFF AMC,20-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14070,3,No,Poor Service,64,116,38.0,61,41,False,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,English,Toyota,Innova,2019,6,Electric,Manual,53694,Expired,Active,Minor,Velachery,5,48731,736,58731,299,No,Yes,Positive,No,Timothy,Yes,222,Not interested,OFF932,Free Wash,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13204,4,Yes,Unresponsive,265,-55,0.0,381,145,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 299 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Hindi,Toyota,Yaris,2017,8,Petrol,Manual,103853,Expired,Expired,Minor,Velachery,4,102674,1071,112674,180,Yes,Yes,No Response,No,Craig,No,293,Already serviced,OFF934,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,3266,4,No,Unresponsive,249,-69,0.0,247,-100,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,Hindi,Toyota,Yaris,2015,10,Petrol,Automatic,25293,Expired,Active,Minor,Anna Nagar,8,21460,209,31460,180,No,No,No Response,No,Jessica,No,232,Not interested,OFF189,Free Wash,02-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8750,2,No,Unresponsive,122,58,0.0,148,37,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Maruti,Baleno,2021,4,Petrol,Manual,107157,Expired,Active,Minor,Velachery,9,102329,2187,112329,180,No,No,Busy,Yes,Heather,No,147,Already serviced,OFF683,Free Wash,11-08-2025,No,No,No,No,No,No,No,No,No,9333,1,No,Smooth Process,43,120,-130.0,39,-39,False,0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Hindi,Maruti,Swift,2021,4,Petrol,Automatic,113488,Expired,Expired,Major,OMR,7,111940,2316,121940,180,No,No,Busy,Yes,Jeffrey,No,239,Not interested,OFF293,10% OFF Labour,28-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4645,5,No,Delayed Pickup,273,-93,-130.0,566,-39,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Honda,City,2017,8,Diesel,Automatic,47347,Expired,Active,Minor,Velachery,8,43066,488,53066,180,No,No,Busy,No,Heather,No,79,Not interested,OFF624,Free Wash,12-08-2025,No,No,No,No,No,No,No,No,No,8642,4,Yes,Poor Service,212,-32,0.0,210,204,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Toyota,Innova,2018,7,Diesel,Manual,95398,Expired,Expired,Major,Anna Nagar,9,93115,1122,103115,34,Yes,No,Denied,No,Michael,No,293,Already serviced,OFF787,Free Wash,16-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,14035,4,No,Delayed Pickup,205,-84,0.0,174,16,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 34 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,Tamil,Toyota,Etios,2017,8,Electric,Automatic,52425,Expired,Expired,Major,T Nagar,2,49250,540,59250,91,Yes,No,No Response,No,Brian,No,217,Already serviced,OFF100,Engine Oil Discount,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5278,5,No,Delayed Pickup,51,-48,0.0,21,84,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 91 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Tamil,Toyota,Etios,2015,10,Electric,Manual,105768,Expired,Expired,Minor,Velachery,9,103988,874,113988,180,Yes,Yes,Busy,Yes,Melissa,No,206,Not interested,OFF232,10% OFF Labour,13-08-2025,No,No,No,No,No,No,No,No,No,10834,3,No,Delayed Pickup,373,-193,114.0,371,32,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Tamil,Maruti,Swift,2015,10,Petrol,Manual,111399,Expired,Active,Major,OMR,9,108425,921,118425,180,Yes,No,Denied,Yes,Ashley,No,248,Call back later,OFF218,Engine Oil Discount,13-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4549,5,No,Delayed Pickup,47,74,15.0,43,-100,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,English,Maruti,Swift,2018,7,Petrol,Manual,45073,Expired,Expired,Major,T Nagar,2,42646,530,52646,2,No,No,Denied,No,Karen,No,292,Already serviced,OFF297,15% OFF AMC,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9135,5,No,Unresponsive,80,-19,0.0,-43,40,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 2 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Ford,EcoSport,2022,3,Petrol,Automatic,55607,Active,Expired,Major,Velachery,2,51094,1503,61094,180,Yes,No,Denied,No,David,No,177,Already serviced,OFF933,10% OFF Labour,14-08-2025,No,No,No,No,No,No,Yes,No,Yes,5516,3,No,Poor Service,309,-129,0.0,307,32,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
